Dimension,Metric
sessionSource,advertiserAdCostPerClick
sessionSource,advertiserAdCostPerConversion
sessionSource,advertiserAdImpressions
sessionSource,averagePurchaseRevenue
sessionSource,averagePurchaseRevenuePerPayingUser
sessionSource,averagePurchaseRevenuePerUser
sessionSource,averageRevenuePerUser
sessionSource,averageSessionDuration
sessionSource,cartToViewRate
sessionSource,checkouts
sessionSource,conversions
sessionSource,newUsers
sessionSource,returnOnAdSpend
sessionSource,totalRevenue
sessionSource,totalUsers
sessionSource,transactions
sessionSource,userConversionRate
sessionSource,userEngagementDuration
sessionSource,sessions
sessionSource,bounceRate
